"Date","Price","Open","High","Low","Vol.","Change %"
"18/11/2025","1,000.82","1,012.20","1,012.86","997.63","","-1.09%"
"17/11/2025","1,011.86","1,025.83","1,030.43","1,011.86","","-0.56%"
"14/11/2025","1,017.60","1,019.24","1,022.76","1,008.90","","-0.52%"
"13/11/2025","1,022.89","1,026.53","1,031.43","1,022.89","","-0.01%"
"12/11/2025","1,023.03","1,036.50","1,039.15","1,021.79","","-0.88%"
"11/11/2025","1,032.13","1,039.56","1,042.69","1,031.96","","-0.24%"
"10/11/2025","1,034.58","1,045.13","1,048.30","1,034.58","","-0.76%"
"07/11/2025","1,042.51","1,048.44","1,055.60","1,039.65","","-0.41%"
"06/11/2025","1,046.79","1,053.68","1,060.93","1,045.31","","-0.18%"
"05/11/2025","1,048.69","1,049.66","1,054.20","1,046.13","","-0.04%"
"04/11/2025","1,049.13","1,051.11","1,053.79","1,040.37","","-0.03%"
"03/11/2025","1,049.45","1,053.60","1,057.48","1,043.72","","0.15%"
"31/10/2025","1,047.83","1,056.09","1,057.75","1,044.37","","-0.76%"
"30/10/2025","1,055.82","1,053.98","1,058.98","1,051.75","","0.21%"
"29/10/2025","1,053.62","1,047.22","1,055.70","1,042.64","","0.90%"
"28/10/2025","1,044.23","1,049.09","1,050.53","1,041.39","","-0.78%"
"27/10/2025","1,052.48","1,057.64","1,060.38","1,046.03","","-0.07%"
"24/10/2025","1,053.24","1,048.80","1,053.56","1,041.36","","1.01%"
"23/10/2025","1,042.67","1,034.04","1,043.90","1,033.14","","1.07%"
"22/10/2025","1,031.66","1,040.57","1,044.01","1,030.88","","-0.97%"
"21/10/2025","1,041.74","1,041.93","1,044.68","1,036.02","","-0.02%"
"20/10/2025","1,041.94","1,046.94","1,047.02","1,035.25","","0.28%"
"17/10/2025","1,038.98","1,054.59","1,054.59","1,034.18","","-1.17%"
"16/10/2025","1,051.28","1,047.75","1,052.10","1,046.13","","0.33%"
"15/10/2025","1,047.82","1,049.69","1,057.87","1,047.68","","0.34%"
"14/10/2025","1,044.31","1,044.19","1,049.11","1,036.43","","0.15%"
"13/10/2025","1,042.74","1,049.41","1,057.01","1,039.00","","-0.64%"
"10/10/2025","1,049.44","1,049.26","1,053.36","1,047.37","","0.27%"
"09/10/2025","1,046.66","1,053.30","1,057.66","1,046.23","","-0.83%"
"08/10/2025","1,055.46","1,062.79","1,075.49","1,053.36","","-0.13%"
"07/10/2025","1,056.82","1,062.78","1,064.31","1,054.44","","-0.37%"
