"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2026","798.35","801.82","804.47","792.85","","-0.22%"
"03/23/2026","800.08","801.60","806.19","787.27","","-1.10%"
"03/21/2026","808.95","813.22","808.95","808.95","","0.00%"
"03/20/2026","808.95","813.22","816.05","808.15","","-0.69%"
"03/19/2026","814.54","817.54","819.64","810.96","","-0.64%"
"03/18/2026","819.77","822.23","827.26","818.39","","-0.24%"
"03/17/2026","821.73","823.83","825.24","818.34","","-0.07%"
"03/16/2026","822.29","816.75","824.66","814.27","","0.98%"
"03/13/2026","814.29","816.38","818.37","811.29","","-0.64%"
"03/12/2026","819.51","822.83","823.89","817.77","","-0.35%"
"03/11/2026","822.42","828.21","828.21","820.78","","-0.93%"
"03/10/2026","830.14","823.92","832.30","823.59","","1.44%"
"03/09/2026","818.37","829.58","829.58","814.36","","-2.05%"
"03/06/2026","835.48","842.02","843.29","832.55","","-0.15%"
"03/05/2026","836.70","845.39","849.09","836.26","","-1.37%"
"03/04/2026","848.33","831.70","850.89","831.46","","2.40%"
"03/03/2026","828.46","855.83","855.83","825.77","","-4.71%"
"03/02/2026","869.37","882.32","882.54","867.70","","-1.89%"
"02/27/2026","886.15","885.45","887.46","881.15","","0.84%"
"02/26/2026","878.81","888.88","890.40","876.96","","-1.05%"
"02/25/2026","888.11","883.88","890.75","881.94","","0.73%"
"02/24/2026","881.64","885.22","886.99","877.97","","-0.43%"
"02/23/2026","885.45","897.69","899.45","884.25","","-1.25%"
"02/20/2026","896.67","907.08","907.08","892.64","","-0.09%"
"02/19/2026","897.46","889.52","897.46","888.30","","0.84%"
"02/18/2026","889.95","888.64","898.43","886.79","","0.32%"
"02/17/2026","887.07","898.39","898.39","886.23","","-1.11%"
"02/16/2026","896.99","907.58","919.75","896.07","","-0.83%"
"02/13/2026","904.53","903.34","909.71","901.43","","0.61%"
"02/12/2026","899.03","908.72","912.16","896.60","","-0.82%"
"02/11/2026","906.50","924.31","925.52","903.58","","-1.54%"
"02/10/2026","920.72","974.79","976.42","915.67","","-5.30%"
"02/09/2026","972.28","975.73","980.51","971.25","","0.14%"
"02/06/2026","970.95","964.71","973.04","961.43","","0.97%"
"02/05/2026","961.58","975.74","978.00","961.22","","-1.31%"
"02/04/2026","974.37","980.04","984.20","971.09","","-0.64%"
"02/03/2026","980.62","991.09","995.01","980.61","","-1.27%"
"02/02/2026","993.23","989.14","998.20","985.84","","0.32%"
"01/30/2026","990.04","989.84","994.34","985.85","","0.17%"
"01/29/2026","988.40","1,001.66","1,007.05","987.38","","-1.01%"
"01/28/2026","998.50","1,005.55","1,009.77","998.04","","-0.63%"
"01/27/2026","1,004.81","1,014.89","1,015.54","1,002.11","","-0.87%"
"01/26/2026","1,013.65","1,019.68","1,022.38","1,012.80","","-0.13%"
"01/23/2026","1,014.99","1,019.35","1,023.79","1,014.19","","-0.94%"
"01/22/2026","1,024.60","1,012.27","1,024.65","1,011.94","","1.66%"
"01/21/2026","1,007.83","1,009.29","1,011.07","1,002.40","","0.07%"
"01/20/2026","1,007.11","1,017.33","1,017.48","999.33","","-1.11%"
"01/19/2026","1,018.37","1,026.65","1,026.65","1,009.67","","-1.29%"
"01/16/2026","1,031.69","1,036.50","1,037.21","1,028.07","","-0.23%"
"01/15/2026","1,034.06","1,026.33","1,034.06","1,026.33","","0.83%"
"01/14/2026","1,025.57","1,024.61","1,028.59","1,022.29","","0.16%"
"01/13/2026","1,023.89","1,031.26","1,034.01","1,020.98","","-0.52%"
"01/12/2026","1,029.25","1,037.98","1,038.60","1,023.72","","-0.47%"
"01/09/2026","1,034.06","1,033.99","1,041.09","1,026.89","","-0.01%"
"01/08/2026","1,034.12","1,043.22","1,045.83","1,033.67","","-0.24%"
"01/07/2026","1,036.62","1,037.47","1,040.13","1,033.38","","-0.29%"
"01/06/2026","1,039.65","1,039.65","1,039.65","1,039.65","","0.00%"
"01/05/2026","1,039.65","1,058.39","1,058.39","1,030.99","","-0.98%"
"01/02/2026","1,049.92","1,029.59","1,056.55","1,029.59","","2.53%"
"12/30/2025","1,024.01","1,009.45","1,026.88","1,007.55","","1.85%"
"12/29/2025","1,005.39","999.97","1,013.97","999.97","","0.51%"
"12/23/2025","1,000.29","997.48","1,002.82","991.57","","0.28%"
"12/22/2025","997.48","1,002.30","1,006.08","997.40","","-0.34%"
"12/19/2025","1,000.87","1,011.10","1,011.55","998.49","","-0.91%"
"12/18/2025","1,010.04","994.58","1,010.04","991.94","","1.26%"
"12/17/2025","997.46","1,001.96","1,003.60","990.88","","-0.44%"
"12/16/2025","1,001.84","1,005.11","1,005.45","993.16","","-0.02%"
"12/15/2025","1,002.02","1,003.97","1,005.36","995.72","","0.12%"
"12/12/2025","1,000.85","1,004.81","1,008.26","999.99","","-0.39%"
"12/11/2025","1,004.80","1,006.40","1,010.56","1,002.29","","-0.26%"
"12/10/2025","1,007.39","1,008.82","1,013.24","1,003.01","","-0.13%"
"12/09/2025","1,008.68","1,005.06","1,012.02","1,002.48","","0.41%"
"12/08/2025","1,004.55","1,012.90","1,016.97","1,002.13","","-0.56%"
"12/05/2025","1,010.20","1,013.72","1,015.43","1,007.62","","-0.49%"
"12/04/2025","1,015.16","1,007.84","1,020.27","1,002.78","","1.01%"
"12/03/2025","1,004.96","1,000.71","1,018.33","1,000.71","","0.57%"
"12/02/2025","999.30","1,011.47","1,013.01","998.84","","-1.03%"
"12/01/2025","1,009.66","1,017.37","1,030.95","1,005.81","","-0.79%"
"11/28/2025","1,017.74","1,003.25","1,017.74","997.72","","1.13%"
"11/27/2025","1,006.36","1,002.72","1,006.63","1,001.29","","0.32%"
"11/26/2025","1,003.18","998.18","1,004.11","992.96","","0.60%"
"11/25/2025","997.17","1,004.74","1,006.88","993.00","","-1.00%"
"11/24/2025","1,007.25","999.30","1,015.58","998.10","","1.17%"
"11/21/2025","995.63","1,005.89","1,006.12","992.31","","-1.33%"
"11/20/2025","1,009.02","1,014.05","1,014.89","1,008.18","","0.70%"
"11/19/2025","1,001.98","1,003.06","1,009.64","1,001.01","","0.12%"
"11/18/2025","1,000.82","1,012.20","1,012.86","997.63","","-1.09%"
"11/17/2025","1,011.86","1,025.83","1,030.43","1,011.86","","-0.56%"
"11/14/2025","1,017.60","1,019.24","1,022.76","1,008.90","","-0.52%"
"11/13/2025","1,022.89","1,026.53","1,031.43","1,022.89","","-0.01%"
"11/12/2025","1,023.03","1,036.50","1,039.15","1,021.79","","-0.88%"
"11/11/2025","1,032.13","1,039.56","1,042.69","1,031.96","","-0.24%"
"11/10/2025","1,034.58","1,045.13","1,048.30","1,034.58","","-0.76%"
"11/07/2025","1,042.51","1,048.44","1,055.60","1,039.65","","-0.41%"
"11/06/2025","1,046.79","1,053.68","1,060.93","1,045.31","","-0.18%"
"11/05/2025","1,048.69","1,049.66","1,054.20","1,046.13","","-0.04%"
"11/04/2025","1,049.13","1,051.11","1,053.79","1,040.37","","-0.03%"
"11/03/2025","1,049.45","1,053.60","1,057.48","1,043.72","","0.15%"
"10/31/2025","1,047.83","1,056.09","1,057.75","1,044.37","","-0.76%"
"10/30/2025","1,055.82","1,053.98","1,058.98","1,051.75","","0.21%"
"10/29/2025","1,053.62","1,047.22","1,055.70","1,042.64","","0.90%"
"10/28/2025","1,044.23","1,049.09","1,050.53","1,041.39","","-0.78%"
"10/27/2025","1,052.48","1,057.64","1,060.38","1,046.03","","-0.07%"
"10/24/2025","1,053.24","1,048.80","1,053.56","1,041.36","","1.01%"
"10/23/2025","1,042.67","1,034.04","1,043.90","1,033.14","","1.07%"
"10/22/2025","1,031.66","1,040.57","1,044.01","1,030.88","","-0.97%"
"10/21/2025","1,041.74","1,041.93","1,044.68","1,036.02","","-0.02%"
"10/20/2025","1,041.94","1,046.94","1,047.02","1,035.25","","0.28%"
"10/17/2025","1,038.98","1,054.59","1,054.59","1,034.18","","-1.17%"
"10/16/2025","1,051.28","1,047.75","1,052.10","1,046.13","","0.33%"
"10/15/2025","1,047.82","1,049.69","1,057.87","1,047.68","","0.34%"
"10/14/2025","1,044.31","1,044.19","1,049.11","1,036.43","","0.15%"
"10/13/2025","1,042.74","1,049.41","1,057.01","1,039.00","","-0.64%"
"10/10/2025","1,049.44","1,049.26","1,053.36","1,047.37","","0.27%"
"10/09/2025","1,046.66","1,053.30","1,057.66","1,046.23","","-0.83%"
"10/08/2025","1,055.46","1,062.79","1,075.49","1,053.36","","-0.13%"
"10/07/2025","1,056.82","1,062.78","1,064.31","1,054.44","","-0.37%"
"10/06/2025","1,060.71","1,075.05","1,075.72","1,056.46","","-1.32%"
"10/04/2025","1,074.88","1,073.27","1,074.88","1,074.88","","0.00%"
"10/03/2025","1,074.88","1,073.27","1,081.52","1,072.15","","-0.30%"
"10/02/2025","1,078.15","1,085.07","1,085.65","1,073.04","","-0.06%"
"10/01/2025","1,078.76","1,082.70","1,083.53","1,071.22","","-0.48%"
"09/30/2025","1,084.00","1,068.17","1,084.56","1,067.43","","1.25%"
"09/29/2025","1,070.57","1,076.88","1,076.88","1,063.26","","-0.26%"
"09/28/2025","1,073.31","1,081.61","1,073.31","1,073.31","","0.00%"
"09/26/2025","1,073.31","1,081.61","1,081.61","1,065.73","","-0.60%"
"09/25/2025","1,079.74","1,087.99","1,089.56","1,077.08","","-0.52%"
"09/24/2025","1,085.42","1,084.30","1,086.45","1,072.51","","0.59%"
"09/23/2025","1,079.00","1,083.14","1,087.10","1,077.98","","0.12%"
"09/22/2025","1,077.72","1,080.63","1,083.99","1,072.39","","-0.31%"
"09/19/2025","1,081.11","1,080.53","1,083.70","1,076.58","","0.32%"
"09/18/2025","1,077.65","1,085.98","1,086.07","1,071.18","","-0.58%"
"09/17/2025","1,083.97","1,081.92","1,085.41","1,073.47","","0.26%"
"09/16/2025","1,081.20","1,080.54","1,086.19","1,079.23","","-0.24%"
"09/15/2025","1,083.85","1,079.02","1,086.03","1,076.90","","0.69%"
"09/12/2025","1,076.45","1,081.65","1,083.28","1,070.94","","-0.33%"
"09/11/2025","1,080.05","1,089.86","1,092.26","1,077.70","","-0.72%"
"09/10/2025","1,087.89","1,094.48","1,095.51","1,086.89","","-0.32%"
"09/09/2025","1,091.35","1,098.00","1,103.99","1,090.35","","-0.34%"
"09/08/2025","1,095.10","1,102.73","1,105.84","1,090.39","","-0.32%"
"09/07/2025","1,098.63","1,102.48","1,098.63","1,098.63","","0.00%"
"09/05/2025","1,098.63","1,102.48","1,103.32","1,088.53","","-0.04%"
"09/04/2025","1,099.08","1,112.40","1,112.67","1,098.62","","-0.96%"
"09/03/2025","1,109.73","1,104.78","1,113.51","1,104.10","","0.73%"
"09/02/2025","1,101.73","1,119.10","1,120.38","1,099.17","","-0.59%"
"09/01/2025","1,108.29","1,103.17","1,117.04","1,098.97","","1.23%"
"08/29/2025","1,094.85","1,103.60","1,104.65","1,086.54","","-0.97%"
"08/28/2025","1,105.53","1,113.37","1,113.37","1,096.13","","-1.07%"
"08/27/2025","1,117.45","1,120.82","1,131.53","1,113.39","","-0.36%"
"08/26/2025","1,121.51","1,121.53","1,134.01","1,117.36","","-0.11%"
"08/25/2025","1,122.70","1,131.08","1,136.42","1,120.64","","-0.41%"
"08/22/2025","1,127.27","1,128.39","1,130.36","1,115.56","","-0.07%"
"08/21/2025","1,128.04","1,133.62","1,134.24","1,122.26","","-0.12%"
"08/20/2025","1,129.38","1,148.98","1,152.38","1,128.31","","-1.43%"
"08/19/2025","1,145.77","1,126.60","1,146.87","1,124.43","","1.93%"
"08/18/2025","1,124.10","1,139.03","1,139.78","1,120.69","","-0.22%"
"08/15/2025","1,126.61","1,116.84","1,129.92","1,111.67","","0.49%"
"08/14/2025","1,121.14","1,117.46","1,125.18","1,104.79","","0.37%"
"08/13/2025","1,116.96","1,125.43","1,125.99","1,115.75","","-0.71%"
"08/12/2025","1,124.94","1,132.41","1,146.14","1,122.32","","-1.23%"
"08/11/2025","1,138.91","1,134.47","1,165.07","1,134.24","","0.69%"
"08/08/2025","1,131.11","1,133.24","1,139.40","1,124.19","","-0.37%"
"08/07/2025","1,135.27","1,138.35","1,143.17","1,125.91","","-0.77%"
"08/06/2025","1,144.05","1,129.78","1,154.52","1,122.49","","2.17%"
"08/05/2025","1,119.74","1,126.39","1,130.99","1,117.22","","-0.61%"
"08/04/2025","1,126.64","1,135.81","1,139.49","1,122.26","","-0.58%"
"08/01/2025","1,133.23","1,145.73","1,146.35","1,127.64","","-0.73%"
"07/31/2025","1,141.59","1,136.12","1,166.60","1,125.97","","0.76%"
"07/30/2025","1,133.03","1,125.82","1,147.72","1,124.39","","0.65%"
"07/29/2025","1,125.69","1,131.93","1,142.08","1,122.25","","-0.18%"
"07/28/2025","1,127.76","1,118.39","1,132.66","1,114.45","","0.70%"
"07/25/2025","1,119.97","1,119.13","1,122.05","1,112.34","","0.04%"
"07/24/2025","1,119.57","1,122.31","1,126.83","1,116.67","","-0.43%"
"07/23/2025","1,124.44","1,121.97","1,129.80","1,115.07","","0.24%"
"07/22/2025","1,121.75","1,137.30","1,137.30","1,120.38","","-1.16%"
"07/21/2025","1,134.90","1,150.35","1,153.59","1,132.19","","-0.89%"
"07/18/2025","1,145.09","1,137.34","1,151.46","1,137.34","","0.59%"
"07/17/2025","1,138.38","1,157.54","1,157.54","1,131.62","","-2.14%"
"07/16/2025","1,163.24","1,148.03","1,164.73","1,144.22","","1.35%"
"07/15/2025","1,147.75","1,154.39","1,174.13","1,143.05","","-0.21%"
"07/14/2025","1,150.11","1,148.95","1,161.66","1,144.30","","0.25%"
"07/11/2025","1,147.29","1,140.68","1,153.92","1,131.43","","0.87%"
"07/10/2025","1,137.34","1,144.50","1,148.38","1,134.84","","-0.58%"
"07/09/2025","1,143.93","1,148.57","1,151.48","1,141.43","","-0.43%"
"07/08/2025","1,148.83","1,143.49","1,151.56","1,142.14","","0.28%"
"07/07/2025","1,145.66","1,150.40","1,152.82","1,139.73","","-0.12%"
"07/04/2025","1,147.00","1,137.22","1,151.98","1,135.57","","0.87%"
"07/03/2025","1,137.14","1,140.14","1,156.21","1,132.98","","-0.13%"
"07/02/2025","1,138.65","1,124.61","1,149.74","1,123.13","","1.49%"
"07/01/2025","1,121.96","1,119.89","1,130.68","1,109.87","","0.38%"
"06/30/2025","1,117.74","1,120.07","1,122.27","1,108.58","","0.31%"
"06/27/2025","1,114.29","1,128.64","1,132.23","1,111.29","","-0.79%"
"06/26/2025","1,123.12","1,139.07","1,139.07","1,119.51","","-1.26%"
"06/25/2025","1,137.49","1,146.63","1,148.08","1,129.33","","-0.49%"
"06/24/2025","1,143.04","1,150.29","1,153.94","1,134.21","","-0.04%"
"06/23/2025","1,143.48","1,149.79","1,155.85","1,120.79","","-1.21%"
"06/20/2025","1,157.45","1,157.45","1,157.45","1,157.45","","0.00%"
"06/19/2025","1,157.45","1,162.16","1,162.83","1,142.83","","-0.10%"
"06/18/2025","1,158.64","1,157.50","1,163.09","1,132.85","","-0.21%"
"06/17/2025","1,161.07","1,182.68","1,182.68","1,155.01","","-2.14%"
