"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2025","18.95","19.45","19.45","18.95","1.52K","-3.81%"
"02/05/2025","19.70","19.00","19.70","19.00","0.46K","3.96%"
"30/04/2025","18.95","18.75","19.00","18.70","0.63K","-0.26%"
"29/04/2025","19.00","19.15","19.15","18.85","0.54K","-0.52%"
"28/04/2025","19.10","19.05","19.30","18.90","2.23K","-1.04%"
"25/04/2025","19.30","19.30","19.30","19.00","0.40K","-0.26%"
"24/04/2025","19.35","19.30","19.35","19.25","0.45K","1.57%"
"23/04/2025","19.05","19.45","19.45","19.05","0.17K","-1.04%"
"22/04/2025","19.25","19.15","19.25","18.95","0.51K","1.58%"
"17/04/2025","18.95","19.55","19.55","18.95","1.17K","0.00%"
"16/04/2025","18.95","19.00","19.40","18.85","1.60K","-0.26%"
"15/04/2025","19.00","18.70","19.00","18.70","0.54K","1.60%"
"14/04/2025","18.70","18.80","18.80","18.50","0.37K","2.75%"
"11/04/2025","18.20","18.30","18.30","18.00","1.01K","-3.70%"
"10/04/2025","18.90","18.90","18.90","17.75","4.76K","6.18%"
"09/04/2025","17.80","17.90","18.05","17.60","3.16K","-3.78%"
"08/04/2025","18.50","18.35","18.50","18.00","0.55K","2.49%"
"07/04/2025","18.05","17.80","18.15","16.85","3.61K","-2.17%"
"04/04/2025","18.45","18.50","19.35","18.40","1.17K","-1.60%"
"03/04/2025","18.75","19.00","19.00","18.60","0.40K","-1.32%"
"02/04/2025","19.00","19.00","19.00","18.75","0.33K","0.00%"
"01/04/2025","19.00","19.30","19.30","19.00","0.24K","-1.55%"
"31/03/2025","19.30","19.35","19.35","19.00","0.74K","-0.26%"
"28/03/2025","19.35","19.35","19.50","19.35","0.13K","0.00%"
"27/03/2025","19.35","19.40","19.80","19.35","0.20K","-0.26%"
"26/03/2025","19.40","19.35","19.40","19.25","0.65K","-2.02%"
"25/03/2025","19.80","19.30","19.85","19.25","0.06K","0.76%"
"24/03/2025","19.65","19.25","19.65","19.20","0.58K","2.08%"
"21/03/2025","19.25","19.30","19.50","19.25","0.56K","0.00%"
"20/03/2025","19.25","19.25","19.80","19.25","0.04K","-1.79%"
"19/03/2025","19.60","19.50","19.90","19.15","0.39K","0.26%"
"18/03/2025","19.55","19.90","19.90","19.05","0.52K","-2.01%"
"17/03/2025","19.95","19.35","19.95","19.35","0.61K","2.84%"
"14/03/2025","19.40","19.50","19.55","19.00","0.64K","0.26%"
"13/03/2025","19.35","19.30","19.70","19.30","0.34K","-1.78%"
"12/03/2025","19.70","18.75","19.70","18.75","0.48K","3.96%"
"11/03/2025","18.95","19.00","19.20","18.90","0.70K","0.53%"
"10/03/2025","18.85","18.80","19.25","18.70","1.41K","-1.31%"
"07/03/2025","19.10","18.90","19.10","18.55","1.29K","-0.52%"
"06/03/2025","19.20","18.95","19.25","18.90","0.84K","1.32%"
"05/03/2025","18.95","19.25","19.25","18.85","0.57K","-0.26%"
"04/03/2025","19.00","19.20","19.20","18.75","1.89K","-2.06%"
"03/03/2025","19.40","19.25","19.50","19.10","0.90K","0.52%"
"28/02/2025","19.30","19.35","19.80","19.30","0.41K","-2.28%"
"27/02/2025","19.75","19.35","19.75","19.30","0.51K","2.07%"
"26/02/2025","19.35","19.55","19.60","19.25","0.56K","-0.26%"
"25/02/2025","19.40","19.30","19.50","19.10","1.55K","-0.77%"
"24/02/2025","19.55","19.35","19.90","19.25","1.39K","-0.51%"
"21/02/2025","19.65","19.30","19.80","19.25","0.51K","-0.76%"
"20/02/2025","19.80","19.45","19.80","19.20","0.41K","1.28%"
"19/02/2025","19.55","19.65","19.75","19.55","0.82K","-0.51%"
"18/02/2025","19.65","19.55","20.10","19.55","0.57K","0.26%"
"17/02/2025","19.60","19.40","19.80","19.40","0.44K","0.51%"
"14/02/2025","19.50","19.70","19.70","19.40","0.52K","0.26%"
"13/02/2025","19.45","19.65","19.70","19.30","1.52K","-1.27%"
"12/02/2025","19.70","19.55","19.70","19.55","0.12K","0.51%"
"11/02/2025","19.60","19.60","19.60","19.60","0.02K","0.51%"
"10/02/2025","19.50","19.45","19.50","19.20","1.47K","0.52%"
"07/02/2025","19.40","19.35","20.10","19.35","1.26K","0.52%"
"06/02/2025","19.30","19.35","19.75","19.30","1.27K","-0.52%"
"05/02/2025","19.40","19.50","19.95","19.35","1.98K","-0.51%"
"04/02/2025","19.50","19.70","19.80","19.30","4.79K","-4.88%"
"03/02/2025","20.50","20.60","20.60","19.90","1.02K","-0.49%"
"31/01/2025","20.60","20.50","20.60","20.50","0.14K","0.49%"
"30/01/2025","20.50","21.10","21.10","20.50","1.57K","0.00%"
"29/01/2025","20.50","20.80","21.30","20.50","1.37K","0.49%"
"28/01/2025","20.40","20.40","20.40","20.40","0.57K","3.82%"
"27/01/2025","19.65","19.90","20.30","19.65","1.18K","-1.26%"
"24/01/2025","19.90","19.80","19.95","19.75","0.85K","0.76%"
"23/01/2025","19.75","19.80","19.80","19.75","0.38K","0.25%"
