"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2025","17.80","18.15","18.15","17.70","0.81K","-1.11%"
"06/26/2025","18.00","18.65","18.65","18.00","0.16K","-0.55%"
"06/25/2025","18.10","18.70","18.70","17.80","0.96K","0.56%"
"06/24/2025","18.00","17.70","18.15","17.70","1.12K","1.12%"
"06/23/2025","17.80","17.55","18.10","17.55","0.73K","-1.66%"
"06/19/2025","18.10","17.80","18.25","17.80","1.10K","-0.55%"
"06/18/2025","18.20","18.00","18.20","17.70","0.05K","0.28%"
"06/17/2025","18.15","17.65","18.15","17.65","1.46K","2.25%"
"06/16/2025","17.75","17.85","17.85","17.55","0.65K","-0.56%"
"06/13/2025","17.85","18.10","18.10","17.55","2.81K","-1.38%"
"06/12/2025","18.10","18.10","18.10","18.10","0.06K","-1.90%"
"06/11/2025","18.45","18.10","18.45","18.10","0.14K","1.37%"
"06/10/2025","18.20","18.70","18.70","18.20","0.77K","0.55%"
"06/09/2025","18.10","18.30","18.30","17.75","7.94K","-1.09%"
"06/06/2025","18.30","18.45","18.45","18.20","4.20K","-1.08%"
"06/05/2025","18.50","18.50","18.95","18.35","2.73K","-0.27%"
"06/04/2025","18.55","18.90","18.90","18.30","0.99K","-0.54%"
"06/03/2025","18.65","18.95","18.95","18.55","1.32K","-1.58%"
"06/02/2025","18.95","19.75","19.75","18.95","1.33K","-3.56%"
"05/30/2025","19.65","19.90","19.90","19.65","1.47K","-1.01%"
"05/28/2025","19.85","19.20","20.00","19.20","1.19K","3.12%"
"05/27/2025","19.25","19.40","19.60","19.15","1.31K","1.58%"
"05/26/2025","18.95","19.25","19.25","18.95","0.30K","1.34%"
"05/23/2025","18.70","18.70","19.15","18.70","0.62K","-0.27%"
"05/21/2025","18.75","18.85","19.25","18.75","0.51K","-0.53%"
"05/20/2025","18.85","18.85","19.25","18.85","0.47K","-1.57%"
"05/19/2025","19.15","19.00","19.20","18.95","0.02K","-0.78%"
"05/16/2025","19.30","18.80","19.30","18.80","0.35K","1.58%"
"05/15/2025","19.00","18.70","19.35","18.65","3.51K","1.33%"
"05/14/2025","18.75","18.80","18.80","18.55","0.30K","-0.27%"
"05/13/2025","18.80","18.65","19.10","18.45","2.73K","-2.08%"
"05/12/2025","19.20","19.20","19.30","18.30","1.51K","2.40%"
"05/09/2025","18.75","18.85","19.30","18.60","2.21K","-0.27%"
"05/08/2025","18.80","19.00","19.00","18.75","1.20K","-0.79%"
"05/07/2025","18.95","19.35","19.35","18.95","0.03K","-2.07%"
"05/06/2025","19.35","19.75","19.75","19.00","0.32K","2.11%"
"05/05/2025","18.95","19.45","19.45","18.95","1.52K","-3.81%"
"05/02/2025","19.70","19.00","19.70","19.00","0.46K","3.96%"
"04/30/2025","18.95","18.75","19.00","18.70","0.63K","-0.26%"
